area_type,availability,location,society,total_sqft,bath,balcony,price,bedroom,total_room,ready,price_per_sqft,price_per_total_room,total_spaces,price_per_total_spaces
Super built-up  Area,19-Dec,Electronic City Phase II,Coomee ,1056.0,2,1,39.07,2,4,Not Ready,0.03699810606060606,9.7675,7,5.581428571428572
Plot  Area,Ready To Move,Chikka Tirupathi,Theanmp,2600.0,5,3,120.0,4,4,Ready,0.046153846153846156,30.0,12,10.0
Built-up  Area,Ready To Move,Uttarahalli,GrrvaGr,1440.0,2,3,62.0,3,5,Ready,0.043055555555555555,12.4,10,6.2
Super built-up  Area,Ready To Move,Lingadheeranahalli,Soiewre,1521.0,3,1,95.0,3,5,Ready,0.062458908612754764,19.0,9,10.555555555555555
Super built-up  Area,Ready To Move,Kothanur,GrrvaGr,1200.0,2,1,51.0,2,4,Ready,0.0425,12.75,7,7.285714285714286
Super built-up  Area,Ready To Move,Whitefield,DuenaTa,1170.0,2,1,38.0,2,4,Ready,0.03247863247863248,9.5,7,5.428571428571429
Super built-up  Area,18-May,Old Airport Road,Jaades ,2732.0,4,1,204.0,4,6,Not Ready,0.0746705710102489,34.0,11,18.545454545454547
Super built-up  Area,Ready To Move,Marathahalli,GrrvaGr,1310.0,3,1,63.25,3,5,Ready,0.048282442748091604,12.65,9,7.027777777777778
Plot  Area,Ready To Move,Gandhi Bazar,GrrvaGr,1020.0,6,1,370.0,6,6,Ready,0.3627450980392157,61.666666666666664,13,28.46153846153846
Super built-up  Area,18-Feb,Whitefield,GrrvaGr,1800.0,2,2,70.0,3,5,Not Ready,0.03888888888888889,14.0,9,7.777777777777778
Plot  Area,Ready To Move,Whitefield,Prrry M,2785.0,5,3,295.0,4,4,Ready,0.1059245960502693,73.75,12,24.583333333333332
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Shncyes,1000.0,2,1,38.0,2,4,Ready,0.038,9.5,7,5.428571428571429
Built-up  Area,Ready To Move,Gottigere,GrrvaGr,1100.0,2,2,40.0,2,4,Ready,0.03636363636363636,10.0,8,5.0
Plot  Area,Ready To Move,Sarjapur,Skityer,2250.0,3,2,148.0,3,3,Ready,0.06577777777777778,49.333333333333336,8,18.5
Super built-up  Area,Ready To Move,Mysore Road,PrntaEn,1175.0,2,2,73.5,2,4,Ready,0.0625531914893617,18.375,8,9.1875
Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,1180.0,3,2,48.0,3,5,Ready,0.04067796610169491,9.6,10,4.8
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1540.0,3,3,60.0,3,5,Ready,0.03896103896103896,12.0,11,5.454545454545454
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,PeBayle,2770.0,4,2,290.0,3,5,Ready,0.10469314079422383,58.0,11,26.363636363636363
Super built-up  Area,Ready To Move,Manayata Tech Park,GrrvaGr,1100.0,2,2,48.0,2,4,Ready,0.04363636363636364,12.0,8,6.0
Built-up  Area,Ready To Move,Kengeri,GrrvaGr,600.0,1,1,15.0,1,3,Ready,0.025,5.0,5,3.0
Super built-up  Area,19-Dec,Binny Pete,She 2rk,1755.0,3,1,122.0,3,5,Not Ready,0.06951566951566951,24.4,9,13.555555555555555
Plot  Area,Ready To Move,Thanisandra,Soitya ,2800.0,5,2,380.0,4,4,Ready,0.1357142857142857,95.0,11,34.54545454545455
Super built-up  Area,Ready To Move,Bellandur,GrrvaGr,1767.0,3,1,103.0,3,5,Ready,0.058290888511601587,20.6,9,11.444444444444445
Super built-up  Area,18-Nov, Thanisandra,Bhe 2ko,510.0,1,0,25.25,0,2,Not Ready,0.049509803921568625,12.625,3,8.416666666666666
Super built-up  Area,18-May,Mangammanapalya,GrrvaGr,1250.0,3,2,56.0,3,5,Not Ready,0.0448,11.2,10,5.6
Super built-up  Area,Ready To Move,Electronic City,Itelaa ,660.0,1,1,23.1,2,4,Ready,0.035,5.775,6,3.85
Built-up  Area,20-Dec,Whitefield,GrrvaGr,1610.0,3,2,81.0,3,5,Not Ready,0.05031055900621118,16.2,10,8.1
Super built-up  Area,17-Oct,Ramagondanahalli,ViistLa,1151.0,2,2,48.77,2,4,Not Ready,0.04237185056472633,12.1925,8,6.09625
Super built-up  Area,Ready To Move,Electronic City,KBityo ,1025.0,2,1,47.0,3,5,Ready,0.045853658536585365,9.4,8,5.875
Super built-up  Area,19-Dec,Yelahanka,LedorSa,2475.0,4,0,186.0,4,6,Not Ready,0.07515151515151515,31.0,10,18.6
Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,1075.0,2,1,35.0,3,5,Ready,0.03255813953488372,7.0,8,4.375
Super built-up  Area,Ready To Move,Hebbal,Mahosya,1760.0,2,2,123.0,3,5,Ready,0.06988636363636364,24.6,9,13.666666666666666
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1693.0,3,3,57.39,3,5,Ready,0.0338984051978736,11.478,11,5.217272727272728
Built-up  Area,Ready To Move,Kasturi Nagar,Kantsce,1925.0,3,1,125.0,3,5,Ready,0.06493506493506493,25.0,9,13.88888888888889
Super built-up  Area,21-Dec,Kanakpura Road,PrarePa,700.0,2,1,36.0,2,4,Not Ready,0.05142857142857143,9.0,7,5.142857142857143
Super built-up  Area,Ready To Move,Electronics City Phase 1,GrrvaGr,1070.0,2,1,45.5,2,4,Ready,0.04252336448598131,11.375,7,6.5
Super built-up  Area,Ready To Move,Kundalahalli,Dieldli,1724.0,3,2,125.0,3,5,Ready,0.07250580046403712,25.0,10,12.5
Super built-up  Area,Ready To Move,Chikkalasandra,GrrvaGr,1290.0,2,2,56.12,3,5,Ready,0.043503875968992245,11.224,9,6.235555555555555
Built-up  Area,Ready To Move,Uttarahalli,GrrvaGr,1143.0,2,2,45.0,2,4,Ready,0.03937007874015748,11.25,8,5.625
Built-up  Area,Ready To Move,Murugeshpalya,Gentson,1296.0,2,1,81.0,2,4,Ready,0.0625,20.25,7,11.571428571428571
Super built-up  Area,19-Dec,Sarjapur  Road,Soini T,1254.0,3,2,38.0,3,5,Not Ready,0.030303030303030304,7.6,10,3.8
Super built-up  Area,Ready To Move,Ganga Nagar,Ceove G,600.0,1,0,38.0,1,3,Ready,0.06333333333333334,12.666666666666666,4,9.5
Plot  Area,Ready To Move,Yelahanka,GrrvaGr,660.0,1,0,48.0,1,1,Ready,0.07272727272727272,48.0,2,24.0
Super built-up  Area,19-Sep,Kanakpura Road,Soazak ,1330.74,2,2,91.79,2,4,Not Ready,0.0689766596029277,22.9475,8,11.47375
Plot  Area,Ready To Move,HSR Layout,GrrvaGr,600.0,9,1,200.0,8,8,Ready,0.3333333333333333,25.0,18,11.11111111111111
Super built-up  Area,Ready To Move,Doddathoguru,LancyRe,970.0,2,0,33.0,2,4,Ready,0.03402061855670103,8.25,6,5.5
Super built-up  Area,20-Sep,Whitefield,Goted U,1459.0,2,1,94.82,2,4,Not Ready,0.06498971898560657,23.705,7,13.545714285714284
Plot  Area,Ready To Move,KR Puram,GrrvaGr,800.0,1,1,130.0,2,2,Ready,0.1625,65.0,4,32.5
Built-up  Area,Ready To Move,Himagiri Meadows,GrrvaGr,869.0,2,1,36.0,2,4,Ready,0.04142692750287687,9.0,7,5.142857142857143
Super built-up  Area,Ready To Move,Adarsh Nagar,Bhncyis,1270.0,2,1,50.0,2,4,Ready,0.03937007874015748,12.5,7,7.142857142857143
Super built-up  Area,18-Mar,Bhoganhalli,Rosha I,1670.0,3,1,99.0,3,5,Not Ready,0.0592814371257485,19.8,9,11.0
Built-up  Area,Ready To Move,Whitefield,Suent V,2010.0,3,2,91.0,3,5,Ready,0.04527363184079602,18.2,10,9.1
Super built-up  Area,Ready To Move,Lakshminarayana Pura,RothaVa,1185.0,2,2,75.0,2,4,Ready,0.06329113924050633,18.75,8,9.375
Super built-up  Area,Ready To Move,Yelahanka,NCowsar,1600.0,2,3,75.0,3,5,Ready,0.046875,15.0,10,7.5
Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1200.0,2,2,44.0,2,4,Ready,0.03666666666666667,11.0,8,5.5
Built-up  Area,20-Feb,Devanahalli,BrereAt,3210.0,2,1,192.0,4,4,Not Ready,0.059813084112149535,48.0,7,27.428571428571427
